FID,Name,Type,r2_Residuals,r2_PCs,r2_age_recruitment,r2_assessment_centre,r2_batch,r2_bmi,r2_fasting,r2_month_attending,r2_sex,r2_smoking,r2_spectrometer,r2_time_analysis,r2_time_day,r2_acquisition_time,r2_device_ID,r2_dilution_factor,r2_Batch,r2_panel_date,r2_ppp_sel,p.value_PCs,p.value_Residuals,p.value_age_recruitment,p.value_assessment_centre,p.value_batch,p.value_bmi,p.value_fasting,p.value_month_attending,p.value_sex,p.value_smoking,p.value_spectrometer,p.value_time_analysis,p.value_time_day,p.value_acquisition_time,p.value_device_ID,p.value_dilution_factor,p.value_Batch,p.value_panel_date,p.value_ppp_sel
23411,Total Phospholipids in Lipoprotein Particles,Metabolites,0.8333,0.0069,0.0237,0.0042,0.007,0.0035,0,0.0016,0.0921,2e-04,0.0156,0.0075,0.0043,,,,,,,0,NA,0,2e-269,0,2e-246,0.05,3e-104,0,3e-17,0,0,4e-303,NA,NA,NA,NA,NA,NA
23412,Phospholipids in VLDL,Metabolites,0.8803,0.0073,0.0212,0.0049,0.0022,0.0502,4e-04,0.001,0.0249,0.0028,0.0029,7e-04,0.001,,,,,,,0,NA,0,9e-304,5e-135,0,4e-29,2e-61,0,3e-186,5e-188,4e-35,5e-68,NA,NA,NA,NA,NA,NA
23413,Phospholipids in LDL,Metabolites,0.9153,0.0017,0.0233,0.0032,0.0047,2e-04,0.0012,0.001,0.0178,4e-04,0.0203,0.0072,0.0036,,,,,,,3e-86,NA,0,1e-187,3e-283,6e-14,2e-79,3e-56,0,3e-26,0,0,1e-230,NA,NA,NA,NA,NA,NA
23414,Phospholipids in HDL,Metabolites,0.7452,0.0046,0.0064,0.0021,0.005,0.0395,2e-04,0.001,0.1691,0.0017,0.0086,0.005,0.0116,,,,,,,1e-194,NA,0,6e-146,0,0,4e-21,3e-70,0,1e-131,0,0,0,NA,NA,NA,NA,NA,NA
23415,Total Esterified Cholesterol,Metabolites,0.8478,0.0033,0.0209,0.0038,0.0053,0.012,6e-04,0.0012,0.0756,5e-04,0.0224,0.0065,0,,,,,,,4e-181,NA,0,3e-241,0,0,4e-44,2e-71,0,9e-32,0,0,0.0002,NA,NA,NA,NA,NA,NA
23416,Cholesteryl Esters in VLDL,Metabolites,0.9342,0.0046,0.0231,0.004,0.0018,0.0119,0,0.0011,0.0128,0.0015,0.0042,3e-04,3e-04,,,,,,,1e-241,NA,0,4e-231,7e-104,0,0.0002,8e-61,1e-13,1e-93,1e-253,1e-09,6e-21,NA,NA,NA,NA,NA,NA
23417,Cholesteryl Esters in LDL,Metabolites,0.9056,0.0024,0.0248,0.0036,0.0065,2e-04,7e-04,0.0011,0.0187,3e-04,0.0239,0.0094,0.0029,,,,,,,2e-126,NA,0,2e-209,0,2e-14,1e-46,2e-61,0,6e-20,0,0,6e-185,NA,NA,NA,NA,NA,NA
23418,Cholesteryl Esters in HDL,Metabolites,0.6974,0.003,0.0016,0.0032,0.004,0.0895,2e-04,7e-04,0.1785,0.0028,0.0119,0.0044,0.0028,,,,,,,2e-93,NA,1e-99,7e-246,0,0,1e-15,1e-47,0,1e-232,0,0,2e-237,NA,NA,NA,NA,NA,NA
23419,Total Free Cholesterol,Metabolites,0.8857,0.0043,0.0245,0.0041,0.0041,0.0027,2e-04,0.0013,0.0536,4e-04,0.0149,0.0042,1e-04,,,,,,,4e-245,NA,0,2e-247,2e-253,7e-180,2e-17,1e-77,0,4e-28,0,2e-253,4e-05,NA,NA,NA,NA,NA,NA
23420,Free Cholesterol in VLDL,Metabolites,0.8959,0.0067,0.0227,0.0047,0.0024,0.039,1e-04,0.0011,0.0204,0.0021,0.0039,5e-04,5e-04,,,,,,,0,NA,0,2e-285,3e-143,0,5e-10,1e-65,0,2e-137,1e-245,2e-21,3e-32,NA,NA,NA,NA,NA,NA
23421,Free Cholesterol in LDL,Metabolites,0.8971,0.001,0.0191,0.0029,0.0041,0.0056,0.0018,8e-04,0.0302,0.0012,0.0253,0.0057,0.0052,,,,,,,8e-34,NA,0,2e-170,6e-253,0,4e-117,3e-47,0,8e-80,0,0,0,NA,NA,NA,NA,NA,NA
23422,Free Cholesterol in HDL,Metabolites,0.703,0.0037,0.0054,0.0031,0.0038,0.0695,1e-04,8e-04,0.1909,0.0011,0.0075,0.004,0.0071,,,,,,,9e-117,NA,0,7e-238,3e-297,0,6e-08,6e-57,0,7e-92,0,0,0,NA,NA,NA,NA,NA,NA
23423,Total Lipids in Lipoprotein Particles,Metabolites,0.8893,0.007,0.0282,0.0047,0.0065,5e-04,0,0.0016,0.0377,3e-04,0.016,0.0069,0.0012,,,,,,,0,NA,0,3e-289,0,6e-32,0.008,4e-93,0,4e-23,0,0,1e-77,NA,NA,NA,NA,NA,NA
23424,Total Lipids in VLDL,Metabolites,0.855,0.009,0.02,0.0054,0.0023,0.0627,0.0011,0.001,0.0351,0.003,0.0029,8e-04,0.0015,,,,,,,0,NA,0,0,8e-148,0,4e-79,2e-63,0,1e-203,7e-190,3e-45,2e-103,NA,NA,NA,NA,NA,NA
23425,Total Lipids in LDL,Metabolites,0.9076,0.0021,0.0245,0.0035,0.0058,1e-04,9e-04,0.001,0.0198,3e-04,0.023,0.0085,0.0031,,,,,,,2e-110,NA,0,6e-202,0,8e-07,3e-58,2e-58,0,3e-22,0,0,2e-197,NA,NA,NA,NA,NA,NA
23426,Total Lipids in HDL,Metabolites,0.7233,0.0043,0.0053,0.0025,0.0049,0.0543,1e-04,9e-04,0.179,0.0016,0.0102,0.0051,0.0086,,,,,,,1e-162,NA,0,4e-182,0,0,3e-08,1e-61,0,3e-131,0,0,0,NA,NA,NA,NA,NA,NA
23427,Total Concentration of Lipoprotein Particles,Metabolites,0.788,0.0044,0.0115,0.003,0.0113,0.0198,5e-04,0.001,0.1088,0.0018,0.0344,0.0151,3e-04,,,,,,,1e-221,NA,0,9e-205,0,0,6e-36,4e-66,0,9e-131,0,0,1e-24,NA,NA,NA,NA,NA,NA
23428,Concentration of VLDL Particles,Metabolites,0.9095,0.0057,0.0239,0.0046,0.0024,0.031,2e-04,0.0011,0.014,0.0023,0.0035,0.0016,3e-04,,,,,,,3e-287,NA,0,7e-275,8e-140,0,1e-14,1e-62,4e-176,4e-145,3e-215,2e-84,2e-22,NA,NA,NA,NA,NA,NA
23429,Concentration of LDL Particles,Metabolites,0.9357,0.0026,0.0231,0.0032,0.003,0.0019,6e-04,0.001,0.0141,0.001,0.0083,0.0041,0.0012,,,,,,,3e-118,NA,0,2e-180,7e-172,2e-121,1e-40,5e-56,2e-104,3e-63,0,2e-236,2e-77,NA,NA,NA,NA,NA,NA
23430,Concentration of HDL Particles,Metabolites,0.7885,0.0042,0.0081,0.0027,0.0109,0.0241,4e-04,9e-04,0.1106,0.0024,0.0324,0.0143,5e-04,,,,,,,3e-181,NA,0,6e-181,0,0,6e-29,1e-56,0,2e-176,0,0,3e-38,NA,NA,NA,NA,NA,NA
23431,Average Diameter for VLDL Particles,Metabolites,0.7606,0.01,0.0067,0.0048,0.0017,0.0919,0.0016,6e-04,0.1166,0.0027,0.0022,3e-04,5e-04,,,,,,,0,NA,5e-158,0,3e-117,0,2e-122,2e-36,0,2e-205,2e-160,3e-14,1e-37,NA,NA,NA,NA,NA,NA
23432,Average Diameter for LDL Particles,Metabolites,0.8626,0.0011,0.0035,0.0013,0.0033,0.0349,0.0012,1e-04,0.0604,6e-04,0.0172,0.0124,0.0013,,,,,,,1e-29,NA,4e-201,1e-72,4e-211,0,2e-79,8e-06,0,1e-40,0,0,3e-91,NA,NA,NA,NA,NA,NA
23433,Average Diameter for HDL Particles,Metabolites,0.6658,0.0031,0.0027,0.0046,0.0012,0.1126,9e-04,5e-04,0.1878,0.002,0.0022,7e-04,0.0159,,,,,,,4e-125,NA,5e-108,0,7e-91,0,3e-81,2e-36,0,2e-174,1e-181,2e-52,0,NA,NA,NA,NA,NA,NA
23434,Phosphoglycerides,Metabolites,0.82,0.0055,0.0223,0.0038,0.0086,0.0033,2e-04,0.0015,0.1001,8e-04,0.0167,0.0095,0.0079,,,,,,,0,NA,0,1e-246,0,1e-232,9e-13,7e-99,0,8e-58,0,0,0,NA,NA,NA,NA,NA,NA
23435,Triglycerides to Phosphoglycerides ratio,Metabolites,0.7463,0.0068,0.0062,0.0046,8e-04,0.1053,0.0024,4e-04,0.12,0.0052,0.0016,1e-04,2e-04,,,,,,,1e-273,NA,3e-237,0,6e-54,0,3e-191,2e-26,0,0,2e-117,0.2,2e-19,NA,NA,NA,NA,NA,NA
23436,Total Cholines,Metabolites,0.803,0.0053,0.0198,0.0039,0.0087,0.0087,0,0.0015,0.1136,4e-04,0.0186,0.0108,0.0058,,,,,,,0,NA,0,2e-259,0,0,0.008,7e-99,0,4e-26,0,0,0,NA,NA,NA,NA,NA,NA
23437,Phosphatidylcholines,Metabolites,0.8119,0.0064,0.0192,0.0037,0.0072,0.0095,6e-04,0.0013,0.1146,6e-04,0.0123,0.007,0.0057,,,,,,,0,NA,0,9e-244,0,0,6e-44,2e-86,0,7e-42,0,0,0,NA,NA,NA,NA,NA,NA
23438,Sphingomyelins,Metabolites,0.7788,0.0037,0.0172,0.0038,0.0074,0.0167,0.0016,0.0012,0.1219,0,0.0315,0.0159,3e-04,,,,,,,1e-142,NA,0,3e-262,0,0,2e-123,5e-78,0,0.05,0,0,5e-24,NA,NA,NA,NA,NA,NA
23439,Apolipoprotein B,Metabolites,0.9354,0.0031,0.0243,0.0035,0.0023,0.0025,4e-04,0.0011,0.0159,0.0011,0.0073,0.0026,5e-04,,,,,,,1e-152,NA,0,1e-198,6e-130,3e-158,2e-27,2e-58,1e-192,1e-67,0,9e-145,5e-34,NA,NA,NA,NA,NA,NA
23440,Apolipoprotein A1,Metabolites,0.7573,0.0047,0.0064,0.0024,0.0069,0.0392,0,8e-04,0.1501,0.002,0.0177,0.0078,0.0048,,,,,,,2e-190,NA,0,2e-167,0,0,1,8e-54,0,4e-154,0,0,0,NA,NA,NA,NA,NA,NA
23441,Apolipoprotein B to Apolipoprotein A1 ratio,Metabolites,0.9115,0.002,0.0118,0.002,9e-04,0.0235,4e-04,6e-04,0.0399,0.003,3e-04,2e-04,0.0041,,,,,,,7e-42,NA,1e-249,1e-109,9e-49,0,3e-26,1e-30,0,4e-190,3e-17,0.0002,6e-261,NA,NA,NA,NA,NA,NA
23442,Total Fatty Acids,Metabolites,0.8796,0.007,0.0324,0.0046,0.0072,0.0213,3e-04,0.0014,0.0166,0.0028,0.0103,0.0076,0.0088,,,,,,,0,NA,0,5e-286,0,0,4e-20,8e-85,0,2e-186,0,0,0,NA,NA,NA,NA,NA,NA
23443,Degree of Unsaturation,Metabolites,0.7864,0.0231,0.0055,0.0089,0.0041,0.064,0,4e-04,0.0686,0.0208,0.0154,0.0024,2e-04,,,,,,,0,NA,0,0,3e-290,0,0.2,1e-22,0,0,0,7e-163,1e-16,NA,NA,NA,NA,NA,NA
23444,Omega-3 Fatty Acids,Metabolites,0.8787,0.0057,0.0579,0.0032,0.0025,1e-04,0.002,5e-04,0.0276,0.0048,0.0126,7e-04,0.0036,,,,,,,5e-144,NA,0,3e-190,2e-153,1e-10,2e-134,8e-26,0,9e-318,0,3e-37,1e-240,NA,NA,NA,NA,NA,NA
23445,Omega-6 Fatty Acids,Metabolites,0.8836,0.0066,0.0232,0.0034,0.0088,0,1e-04,0.0015,0.0481,0,0.0136,0.0067,0.0044,,,,,,,3e-216,NA,0,2e-205,0,0.0006,1e-06,2e-88,0,0.004,0,0,2e-291,NA,NA,NA,NA,NA,NA
23446,Polyunsaturated Fatty Acids,Metabolites,0.8746,0.0042,0.0317,0.0034,0.0085,1e-04,4e-04,0.0013,0.0529,4e-04,0.0114,0.0059,0.0053,,,,,,,2e-143,NA,0,1e-207,0,4e-07,4e-26,2e-80,0,5e-25,0,0,0,NA,NA,NA,NA,NA,NA
23447,Monounsaturated Fatty Acids,Metabolites,0.8407,0.0105,0.0242,0.0065,0.0058,0.0633,3e-04,0.001,0.0111,0.0083,0.0079,0.0085,0.0119,,,,,,,0,NA,0,0,0,0,6e-22,3e-63,4e-159,0,0,0,0,NA,NA,NA,NA,NA,NA
23448,Saturated Fatty Acids,Metabolites,0.8819,0.0091,0.0294,0.0055,0.0052,0.0271,1e-04,0.0014,0.0119,0.005,0.0105,0.006,0.007,,,,,,,0,NA,0,0,0,0,3e-09,8e-84,1e-181,0,0,0,0,NA,NA,NA,NA,NA,NA
23449,Linoleic Acid,Metabolites,0.901,0.0097,0.0181,0.0042,0.008,0.0014,7e-04,0.0012,0.035,5e-04,0.0125,0.0053,0.0024,,,,,,,2e-319,NA,0,7e-251,0,2e-90,8e-46,8e-71,0,5e-35,0,0,3e-154,NA,NA,NA,NA,NA,NA
23450,Docosahexaenoic Acid,Metabolites,0.8441,0.0085,0.0369,0.0051,0.0024,0.0227,9e-04,5e-04,0.0582,0.0087,0.0102,0.0018,0,,,,,,,3e-166,NA,0,0,7e-153,0,9e-61,7e-29,0,0,0,3e-106,0.7,NA,NA,NA,NA,NA,NA
23451,Omega-3 Fatty Acids to Total Fatty Acids percentage,Metabolites,0.869,0.015,0.0432,0.0054,8e-04,0.0086,0.0024,5e-04,0.0187,0.0122,0.0234,4e-04,4e-04,,,,,,,0,NA,0,0,2e-43,0,2e-162,5e-25,0,0,0,5e-17,3e-30,NA,NA,NA,NA,NA,NA
23452,Omega-6 Fatty Acids to Total Fatty Acids percentage,Metabolites,0.8162,0.0105,0.0272,0.0067,0.001,0.0895,4e-04,4e-04,0.0247,0.0123,0.0012,0.0025,0.0075,,,,,,,0,NA,0,0,4e-60,0,1e-28,3e-22,0,0,3e-80,4e-160,0,NA,NA,NA,NA,NA,NA
23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,Metabolites,0.7819,0.0173,0.0072,0.0105,9e-04,0.1082,0,5e-04,0.0384,0.02,0.0065,0.003,0.0057,,,,,,,0,NA,0,0,2e-60,0,0.2,3e-27,0,0,0,9e-204,0,NA,NA,NA,NA,NA,NA
23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,Metabolites,0.7396,0.0133,0.0059,0.0098,0.0018,0.1319,1e-04,3e-04,0.0605,0.0173,0.0027,0.0058,0.011,,,,,,,0,NA,5e-278,0,1e-133,0,9e-13,9e-20,0,0,8e-202,0,0,NA,NA,NA,NA,NA,NA
23455,Saturated Fatty Acids to Total Fatty Acids percentage,Metabolites,0.9168,0.0226,0.0057,0.0057,0.001,0.0211,2e-04,6e-04,0.0017,0.0093,0.015,2e-04,1e-04,,,,,,,0,NA,9e-305,0,4e-57,0,2e-17,7e-32,2e-78,0,0,1e-05,7e-06,NA,NA,NA,NA,NA,NA
23456,Linoleic Acid to Total Fatty Acids percentage,Metabolites,0.817,0.0099,0.03,0.0094,5e-04,0.0886,3e-04,2e-04,0.0214,0.0133,0.0032,8e-04,0.0055,,,,,,,0,NA,0,0,3e-25,0,2e-21,2e-08,0,0,2e-222,4e-44,0,NA,NA,NA,NA,NA,NA
23457,Docosahexaenoic Acid to Total Fatty Acids percentage,Metabolites,0.8263,0.017,0.0137,0.0075,8e-04,0.0587,5e-04,5e-04,0.0398,0.0152,0.0162,3e-04,0.0032,,,,,,,0,NA,0,0,9e-49,0,9e-40,2e-31,0,0,0,3e-13,2e-226,NA,NA,NA,NA,NA,NA
23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,Metabolites,0.7407,0.0162,0.0073,0.0111,0.0015,0.1311,1e-04,4e-04,0.0537,0.0199,0.0041,0.0049,0.0092,,,,,,,0,NA,0,0,7e-105,0,2e-05,5e-24,0,0,3e-314,0,0,NA,NA,NA,NA,NA,NA
23459,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio,Metabolites,0.8906,0.0103,0.0552,0.003,8e-04,0,0.0027,4e-04,0.0088,0.0069,0.0194,1e-04,0.0017,,,,,,,1e-221,NA,0,4e-176,7e-46,0.09,2e-177,2e-21,0,0,0,0.01,8e-115,NA,NA,NA,NA,NA,NA
23460,Alanine,Metabolites,0.5936,0.0032,0.0023,0.0045,0.0211,0.012,0.0118,0.0014,0.0104,0.0014,0.3179,0.0026,0.0178,,,,,,,2e-171,NA,1e-177,0,0,0,0,8e-132,0,2e-132,0,2e-233,0,NA,NA,NA,NA,NA,NA
23461,Glutamine,Metabolites,0.8511,0.0012,0.0073,0.0088,0.0269,0.023,3e-04,0.0015,0.0069,0.0011,0.0212,0.0461,0.0046,,,,,,,2e-30,NA,8e-302,0,0,0,6e-25,1e-96,2e-307,1e-72,0,0,3e-311,NA,NA,NA,NA,NA,NA
23462,Glycine,Metabolites,0.8135,0.0011,0.0029,0.0021,0.0052,0.0278,5e-04,0.0014,0.1112,0.0012,0.0079,0.0205,0.0049,,,,,,,1e-20,NA,3e-154,2e-133,0,0,8e-36,3e-88,0,1e-87,0,0,0,NA,NA,NA,NA,NA,NA
23463,Histidine,Metabolites,0.8927,5e-04,0.006,0.0024,0.0496,6e-04,0.004,7e-04,0.0099,6e-04,0.0205,0.0096,0.0029,,,,,,,2e-22,NA,0,2e-136,0,8e-44,2e-259,1e-36,0,1e-40,0,0,1e-191,NA,NA,NA,NA,NA,NA
23464,Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),Metabolites,0.8003,0.0022,0.0028,0.0051,0.0057,0.0489,0.0062,3e-04,0.0642,9e-04,0.0189,0.0171,0.0273,,,,,,,6e-82,NA,2e-90,0,0,0,0,9e-17,0,4e-65,0,0,0,NA,NA,NA,NA,NA,NA
23465,Isoleucine,Metabolites,0.8275,0.0021,0.0014,0.004,0.0035,0.0295,0.0066,1e-04,0.0399,3e-04,0.0099,0.0058,0.0693,,,,,,,2e-65,NA,5e-32,1e-262,4e-233,0,0,1e-05,0,5e-19,0,0,0,NA,NA,NA,NA,NA,NA
23466,Leucine,Metabolites,0.8303,0.0016,0.0018,0.0046,0.0037,0.0318,0.0043,4e-04,0.0783,6e-04,0.0079,0.0132,0.0214,,,,,,,3e-45,NA,4e-45,4e-301,4e-247,0,4e-301,2e-21,0,1e-41,0,0,0,NA,NA,NA,NA,NA,NA
23467,Valine,Metabolites,0.7813,0.0024,0.0046,0.0053,0.0097,0.0618,0.0065,4e-04,0.0544,0.0013,0.0338,0.023,0.0153,,,,,,,1e-104,NA,9e-197,0,0,0,0,3e-24,0,3e-99,0,0,0,NA,NA,NA,NA,NA,NA
23468,Phenylalanine,Metabolites,0.8731,0.001,0.0025,0.0063,0.0082,0.0178,0.0142,9e-04,0.0041,5e-04,0.006,0.0375,0.0281,,,,,,,1e-49,NA,9e-119,0,0,0,0,1e-53,2e-254,1e-30,0,0,0,NA,NA,NA,NA,NA,NA
23469,Tyrosine,Metabolites,0.8925,0.0018,0.0178,0.0088,0.0063,0.0328,0.0175,4e-04,0.0014,0.0013,0.0099,0.0086,0.0011,,,,,,,4e-47,NA,0,0,0,0,0,2e-21,7e-30,6e-82,0,0,2e-74,NA,NA,NA,NA,NA,NA
23470,Glucose,Metabolites,0.8561,0.0022,0.0221,0.026,0.0057,0.0145,0,0.005,4e-04,0.0019,0.0288,0.0163,0.0211,,,,,,,4e-61,NA,0,0,0,0,0.0004,0,3e-14,1e-128,0,0,0,NA,NA,NA,NA,NA,NA
23471,Lactate,Metabolites,0.7618,0.0023,5e-04,0.0713,0.0059,0.0064,1e-04,0.0177,0.006,0.0029,0.0424,0.0127,0.0699,,,,,,,8e-146,NA,5e-12,0,0,0,8e-13,0,0,3e-219,0,0,0,NA,NA,NA,NA,NA,NA
23472,Pyruvate,Metabolites,0.8732,0.0019,0.0011,0.0602,0.0068,0.0053,4e-04,0.0198,0.0061,6e-04,0.0112,0.0073,0.0058,,,,,,,2e-112,NA,1e-23,0,0,0,2e-29,0,0,1e-40,0,0,0,NA,NA,NA,NA,NA,NA
23473,Citrate,Metabolites,0.8167,0.002,0.0274,0.0104,0.0137,0.0014,8e-04,0.0026,0.0156,0.0057,0.051,0.0499,0.0028,,,,,,,7e-71,NA,0,0,0,2e-98,5e-58,1e-176,0,0,0,0,1e-199,NA,NA,NA,NA,NA,NA
23474,3-Hydroxybutyrate,Metabolites,0.9306,0.0015,0.008,0.0043,9e-04,0.0012,0.0295,4e-04,5e-04,0.0013,0.0031,0.0027,0.0159,,,,,,,2e-48,NA,0,6e-244,8e-45,2e-76,0,2e-20,2e-26,1e-80,6e-181,3e-147,0,NA,NA,NA,NA,NA,NA
23475,Acetate,Metabolites,0.9088,9e-04,8e-04,0.0153,0.008,0.0101,4e-04,0.003,1e-04,0.0024,0.0024,0.019,0.0288,,,,,,,2e-29,NA,1e-28,0,0,0,2e-28,7e-179,0.04,4e-152,1e-146,0,0,NA,NA,NA,NA,NA,NA
23476,Acetoacetate,Metabolites,0.8727,0.0018,0.0102,0.007,0.0023,4e-04,0.0136,0.0029,1e-04,0.0018,0.0028,0.0022,0.0822,,,,,,,9e-78,NA,0,0,4e-141,2e-31,0,7e-179,0.3,2e-119,5e-179,3e-127,0,NA,NA,NA,NA,NA,NA
23477,Acetone,Metabolites,0.8878,0.003,0.0059,0.0074,0.003,0.0051,0.0128,0.0027,0.0017,0.001,0.018,7e-04,0.0508,,,,,,,3e-112,NA,0,0,5e-184,0,0,2e-165,5e-108,3e-63,0,7e-34,0,NA,NA,NA,NA,NA,NA
23478,Creatinine,Metabolites,0.6556,0.0032,0.01,0.0035,0.0045,0.0165,2e-04,6e-04,0.2779,3e-04,0.0147,0.0078,0.0051,,,,,,,4e-93,NA,0,5e-279,0,0,6e-22,4e-47,0,4e-30,0,0,0,NA,NA,NA,NA,NA,NA
23479,Albumin,Metabolites,0.8621,0.0073,0.0145,0.0071,0.0275,0.0244,0,0.0021,0.0057,0.0023,0.0343,0.0126,1e-04,,,,,,,4e-313,NA,0,0,0,0,0.01,4e-129,3e-175,4e-156,0,0,1e-08,NA,NA,NA,NA,NA,NA
23480,Glycoprotein Acetyls,Metabolites,0.7779,0.005,0.0194,0.0082,0.0079,0.1127,1e-04,0.0016,0.0044,0.0122,0.0299,0.0199,9e-04,,,,,,,7e-210,NA,0,0,0,0,8e-12,6e-108,2e-07,0,0,0,4e-71,NA,NA,NA,NA,NA,NA
23481,Concentration of Chylomicrons and Extremely Large VLDL Particles,Metabolites,0.8253,0.0062,0.0074,0.0038,0.0031,0.08,0.0019,6e-04,0.0532,0.0045,0.0042,0.0023,0.0075,,,,,,,2e-291,NA,3e-213,2e-244,7e-204,0,1e-136,4e-37,0,1e-317,5e-289,8e-143,0,NA,NA,NA,NA,NA,NA
23482,Total Lipids in Chylomicrons and Extremely Large VLDL,Metabolites,0.8144,0.007,0.007,0.004,0.0033,0.083,0.002,7e-04,0.0582,0.0043,0.0042,0.0032,0.0087,,,,,,,0,NA,2e-191,3e-263,2e-221,0,2e-141,2e-44,0,1e-306,1e-292,2e-206,0,NA,NA,NA,NA,NA,NA
